Country,date,vaccine,total
Argentina,2021-02-03,Sinopharm/Beijing,146
Argentina,2021-03-05,Oxford/AstraZeneca,294
Argentina,2021-03-30,Moderna,440
Argentina,2021-04-23,Pfizer/BioNTech,586
Argentina,2021-05-17,Sputnik V,732
Argentina,2021-06-11,Moderna,878
Argentina,2021-07-05,Pfizer/BioNTech,1024
Argentina,2021-07-29,Pfizer/BioNTech,1168
Argentina,2021-08-22,Pfizer/BioNTech,1312
Argentina,2021-09-15,Pfizer/BioNTech,1456
Argentina,2021-10-09,Pfizer/BioNTech,1600
Argentina,2021-10-09,Sinopharm/Beijing,1601
Argentina,2021-10-09,Sputnik V,1602
Argentina,2021-10-10,CanSino,1603
Argentina,2021-10-10,Moderna,1604
Argentina,2021-10-10,Oxford/AstraZeneca,1605
Argentina,2021-10-10,Pfizer/BioNTech,1606
Argentina,2021-10-10,Sinopharm/Beijing,1607
Argentina,2021-10-10,Sputnik V,1608
Argentina,2021-10-11,CanSino,1609
Argentina,2021-10-11,Moderna,1610
Argentina,2021-10-11,Oxford/AstraZeneca,1611
Argentina,2021-10-11,Pfizer/BioNTech,1612
Argentina,2021-10-11,Sinopharm/Beijing,1613
Argentina,2021-10-11,Sputnik V,1614
Argentina,2021-10-12,CanSino,1615
Argentina,2021-10-12,Moderna,1616
Argentina,2021-10-12,Oxford/AstraZeneca,1617
Argentina,2021-10-12,Pfizer/BioNTech,1618
Argentina,2021-10-12,Sinopharm/Beijing,1619
Argentina,2021-10-12,Sputnik V,1620
Argentina,2021-10-13,CanSino,1621
Argentina,2021-10-13,Moderna,1622
Argentina,2021-10-13,Oxford/AstraZeneca,1623
Argentina,2021-10-13,Pfizer/BioNTech,1624
Argentina,2021-10-13,Sinopharm/Beijing,1625
Argentina,2021-10-13,Sputnik V,1626
Argentina,2021-10-14,CanSino,1627
Argentina,2021-10-14,Moderna,1628
Argentina,2021-10-14,Oxford/AstraZeneca,1629
Argentina,2021-10-14,Pfizer/BioNTech,1630
Argentina,2021-10-14,Sinopharm/Beijing,1631
Argentina,2021-10-14,Sputnik V,1632
Argentina,2021-10-15,CanSino,1633
Argentina,2021-10-15,Moderna,1634
Argentina,2021-10-15,Oxford/AstraZeneca,1635
